1572566400000,0.01360000,0.01406000,0.01336000,0.01377000,91318676.40000000,1572652799999,1256239.09922500,4155,45160043.70000000,621367.22434100,0
1572652800000,0.01377000,0.01390000,0.01340000,0.01353000,78503532.20000000,1572739199999,1067550.91606800,3038,28668400.20000000,390736.20017000,0
1572739200000,0.01354000,0.01373000,0.01329000,0.01354000,73641398.40000000,1572825599999,992944.74555500,2853,28913274.10000000,390311.72755300,0
1572825600000,0.01354000,0.01461000,0.01351000,0.01432000,233424567.00000000,1572911999999,3301110.80946000,9160,133416134.10000000,1887896.75976800,0
1572912000000,0.01428000,0.01514000,0.01395000,0.01470000,267620780.10000000,1572998399999,3911435.48906000,10666,127220931.60000000,1862293.13610700,0
1572998400000,0.01465000,0.01486000,0.01430000,0.01447000,150238377.90000000,1573084799999,2187292.39845700,5866,61849284.10000000,901713.88536100,0
1573084800000,0.01446000,0.01542000,0.01421000,0.01512000,237761244.40000000,1573171199999,3521381.14091600,8843,113049121.70000000,1673396.18325700,0
1573171200000,0.01512000,0.01546000,0.01379000,0.01432000,236014058.80000000,1573257599999,3437215.25935300,8340,106525135.30000000,1552319.22630800,0
1573257600000,0.01432000,0.01523000,0.01428000,0.01491000,162345921.60000000,1573343999999,2423871.93929500,5885,82904758.30000000,1238447.02212300,0
1573344000000,0.01489000,0.01600000,0.01479000,0.01571000,158166163.20000000,1573430399999,2438632.85078500,6957,86581741.40000000,1334623.64146200,0
1573430400000,0.01572000,0.01593000,0.01449000,0.01541000,210005980.40000000,1573516799999,3186892.79908400,7220,96438413.70000000,1464734.98558700,0
1573516800000,0.01543000,0.01563000,0.01450000,0.01487000,184608022.00000000,1573603199999,2770796.19434900,6882,72318609.60000000,1086542.06428300,0
1573603200000,0.01492000,0.01517000,0.01454000,0.01493000,82189698.90000000,1573689599999,1225985.83450600,3455,39480834.90000000,589568.95783100,0
1573689600000,0.01495000,0.01502000,0.01423000,0.01443000,90633111.80000000,1573775999999,1321861.35045400,3486,41526378.00000000,606747.13913500,0
1573776000000,0.01442000,0.01450000,0.01356000,0.01381000,117032450.90000000,1573862399999,1644219.54637300,4812,45434122.40000000,639333.30298900,0
1573862400000,0.01381000,0.01445000,0.01369000,0.01445000,89273621.20000000,1573948799999,1250914.75562500,3202,41471345.30000000,581838.88821600,0
1573948800000,0.01445000,0.01478000,0.01403000,0.01432000,96618076.90000000,1574035199999,1390254.80488100,4041,43153366.80000000,621264.34890100,0
1574035200000,0.01430000,0.01449000,0.01361000,0.01404000,73760874.50000000,1574121599999,1036434.70569500,3297,30501368.00000000,428981.24090100,0
1574121600000,0.01404000,0.01510000,0.01359000,0.01484000,216103098.00000000,1574207999999,3124499.64195200,7625,107249016.30000000,1553814.04646600,0
1574208000000,0.01485000,0.01502000,0.01414000,0.01434000,189958223.70000000,1574294399999,2776159.21886500,7245,91847880.30000000,1345296.69693000,0
1574294400000,0.01433000,0.01457000,0.01332000,0.01425000,175568196.90000000,1574380799999,2460713.96964500,7374,81293549.90000000,1140793.29391700,0
1574380800000,0.01427000,0.01440000,0.01215000,0.01403000,348609438.90000000,1574467199999,4674898.02371600,13219,159065733.60000000,2136461.01358300,0
1574467200000,0.01406000,0.01690000,0.01368000,0.01662000,529613232.20000000,1574553599999,8265866.78553000,19230,285210875.70000000,4454120.11340300,0
1574553600000,0.01662000,0.01770000,0.01504000,0.01515000,574517033.20000000,1574639999999,9466088.12579400,20615,252816732.30000000,4184352.10733900,0
1574640000000,0.01509000,0.02166000,0.01485000,0.02094000,1064902274.50000000,1574726399999,20073327.71044100,40657,525023126.70000000,9921076.56083700,0
1574726400000,0.02094000,0.02295000,0.01994000,0.02171000,857771499.40000000,1574812799999,18387775.54151700,38507,416963600.20000000,8951293.95443500,0
1574812800000,0.02171000,0.02500000,0.02027000,0.02459000,756927193.00000000,1574899199999,17292556.91792800,35065,407427716.80000000,9292207.32200200,0
1574899200000,0.02458000,0.02580000,0.02221000,0.02267000,505162238.20000000,1574985599999,12124733.72697800,27648,232074869.10000000,5584721.12017900,0
1574985600000,0.02265000,0.02517000,0.02250000,0.02451000,335527815.50000000,1575071999999,8122006.39988700,18305,178255121.20000000,4314251.92279700,0
1575072000000,0.02448000,0.02960000,0.02411000,0.02890000,701996285.60000000,1575158399999,19468954.69199700,32828,366464709.90000000,10161431.43686900,0
