1527811200000,12.23510000,12.38890000,11.83540000,12.20480000,5946136.88000000,1527897599999,72160734.19603500,53090,3245736.46000000,39409225.61068200,0
1527897600000,12.21430000,15.67740000,12.10390000,14.69760000,9812623.63000000,1527983999999,137660461.76417700,133426,5079497.05000000,71122595.26837000,0
1527984000000,14.69760000,15.45100000,14.22660000,14.53040000,5800716.38000000,1528070399999,85527513.83410500,81730,2731021.79000000,40279750.69082300,0
1528070400000,14.53040000,14.84240000,13.23000000,13.46200000,4878116.53000000,1528156799999,67436603.01382900,69831,2448176.03000000,33854880.61744200,0
1528156800000,13.46190000,14.30000000,12.71000000,14.19960000,6430602.84000000,1528243199999,87989130.24363100,86468,3347435.66000000,45892425.11182300,0
1528243200000,14.19780000,14.30000000,13.36770000,13.90720000,5958713.33000000,1528329599999,82746536.40252500,69194,3133537.56000000,43562204.09117800,0
1528329600000,13.91000000,14.74090000,13.60000000,14.72070000,6061410.77000000,1528415999999,84985557.59713800,69656,3373986.16000000,47279269.88484800,0
1528416000000,14.72050000,14.90000000,13.55000000,13.96370000,2727726.06000000,1528502399999,38752065.57896100,66798,1219800.56000000,17340345.80956200,0
1528502400000,13.97940000,15.00150000,13.92000000,14.15000000,2592900.65000000,1528588799999,37660350.14941600,70817,1390960.24000000,20219743.70620100,0
1528588800000,14.15000000,14.16420000,10.98000000,11.73130000,10540465.95000000,1528675199999,134421113.92914200,117253,5843168.92000000,74517518.83963200,0
1528675200000,11.73550000,11.93000000,10.61000000,11.77190000,8878723.10000000,1528761599999,100318882.53705500,109917,5174443.52000000,58462458.29804100,0
1528761600000,11.77100000,11.78000000,9.68000000,10.09090000,9168694.85000000,1528847999999,99873337.99199600,98326,5361700.17000000,58428566.09391100,0
1528848000000,10.09090000,10.47000000,9.12000000,10.03700000,10351432.78000000,1528934399999,102359990.49765500,113104,5782310.23000000,57261137.18948200,0
1528934400000,10.03120000,11.78990000,9.46200000,11.25340000,10052349.00000000,1529020799999,106523028.94005500,128840,5180605.42000000,54872807.86310700,0
1529020800000,11.25340000,11.45000000,10.51070000,10.65470000,5408054.38000000,1529107199999,59514835.83801600,81960,2769422.09000000,30490026.98867300,0
1529107200000,10.65040000,10.86670000,10.16000000,10.52540000,6053921.05000000,1529193599999,64397314.35090400,69941,3530757.60000000,37592373.55870000,0
1529193600000,10.52540000,10.75000000,10.25000000,10.33880000,1627761.79000000,1529279999999,17059301.81623800,38446,846251.27000000,8857444.51396500,0
1529280000000,10.33880000,10.89900000,10.09630000,10.67910000,10669784.21000000,1529366399999,110552296.95424000,73020,6758048.46000000,69992077.08445600,0
1529366400000,10.67380000,10.96930000,10.38000000,10.65800000,7961229.86000000,1529452799999,84254902.54956400,53189,4792195.86000000,50700962.53317300,0
1529452800000,10.65070000,10.74950000,10.16000000,10.41200000,8798849.05000000,1529539199999,91455464.48008400,59765,5815298.09000000,60457568.02602100,0
1529539200000,10.40770000,10.83000000,10.20320000,10.40990000,8923799.16000000,1529625599999,93496975.06417400,55757,5786251.54000000,60637628.39905300,0
1529625600000,10.40310000,10.43200000,8.24600000,8.51980000,11547386.83000000,1529711999999,106261475.89405200,100813,6326747.52000000,58369092.66972500,0
1529712000000,8.51330000,8.74700000,8.06800000,8.44640000,8165524.12000000,1529798399999,68441150.59981100,54241,4632130.58000000,38815819.85420700,0
1529798400000,8.44640000,8.51530000,6.92000000,8.06000000,8983446.42000000,1529884799999,68460743.08364800,74559,4730136.74000000,36052004.77162500,0
1529884800000,8.05260000,8.70000000,7.66800000,8.33580000,9612531.13000000,1529971199999,78832873.15614500,59566,5607119.26000000,45965817.11402100,0
1529971200000,8.33570000,8.39990000,7.53290000,7.57600000,5966985.99000000,1530057599999,47376969.36539600,39383,3313484.02000000,26306008.69169400,0
1530057600000,7.55180000,8.26000000,7.38780000,7.99420000,9334245.96000000,1530143999999,72584833.93440500,55662,5517776.50000000,42900753.74621000,0
1530144000000,7.99500000,8.08700000,7.29840000,7.36750000,8395130.15000000,1530230399999,65441769.13377400,54645,4807377.98000000,37533506.02915900,0
1530230400000,7.36400000,7.95000000,7.08040000,7.74380000,7661045.91000000,1530316799999,56484178.75773100,49782,4532283.59000000,33390884.46386700,0
1530316800000,7.74020000,8.29800000,7.73460000,8.12700000,9584422.70000000,1530403199999,77033354.36232000,56416,5755438.23000000,46255947.81901500,0
