1546300800000,6.11390000,6.12280000,5.77350000,5.99100000,1412914.18000000,1546387199999,8379611.86242200,22331,682669.28000000,4052797.80614900,0
1546387200000,5.99100000,6.09390000,5.83710000,6.05100000,2130127.00000000,1546473599999,12667352.24098500,44315,1056710.72000000,6285424.27224700,0
1546473600000,6.04450000,6.06200000,5.77390000,5.79790000,1524726.37000000,1546559999999,8984033.71578600,22785,704699.19000000,4153050.86672300,0
1546560000000,5.79470000,5.99000000,5.74020000,5.96920000,1657441.74000000,1546646399999,9772290.64511800,26252,885009.64000000,5222035.71036500,0
1546646400000,5.96880000,6.10430000,5.91880000,5.96250000,1636284.99000000,1546732799999,9826475.87796500,26399,885981.63000000,5321087.10622600,0
1546732800000,5.96260000,6.38880000,5.92500000,6.26880000,2511301.27000000,1546819199999,15355552.56477700,33867,1427284.57000000,8724142.02290000,0
1546819200000,6.26810000,6.30940000,6.00610000,6.20090000,1683858.68000000,1546905599999,10428760.41715200,24993,831813.44000000,5153744.82033400,0
1546905600000,6.19790000,6.79840000,6.13810000,6.51280000,3946905.61000000,1546991999999,25730037.88708400,46110,2102051.73000000,13701348.47978700,0
1546992000000,6.51970000,6.85400000,6.33860000,6.55110000,4167653.69000000,1547078399999,27575766.44091900,45910,2089420.05000000,13826901.31420900,0
1547078400000,6.55110000,6.57640000,5.65000000,5.84490000,3348790.03000000,1547164799999,20367712.10709900,45834,1623596.80000000,9874220.60350500,0
1547164800000,5.84400000,6.11980000,5.68530000,5.95950000,2559930.81000000,1547251199999,15157433.65293700,32732,1311193.93000000,7759342.44512100,0
1547251200000,5.95520000,5.96570000,5.80000000,5.85940000,1743319.31000000,1547337599999,10235285.05837300,21978,939495.31000000,5516152.03412700,0
1547337600000,5.86290000,5.88840000,5.37330000,5.46880000,1420692.05000000,1547423999999,8108312.42236400,18672,694771.82000000,3969742.81798000,0
1547424000000,5.46880000,6.06200000,5.45860000,6.05830000,2330172.48000000,1547510399999,13521000.24942300,23190,1307422.11000000,7604285.95759600,0
1547510400000,6.05650000,6.06490000,5.66010000,5.81110000,1366715.25000000,1547596799999,8031293.15406300,19343,716398.66000000,4210654.64004100,0
1547596800000,5.80070000,6.18170000,5.77410000,6.09110000,2164639.90000000,1547683199999,12960434.72984200,21239,1313961.21000000,7866063.72004300,0
1547683200000,6.09410000,6.33000000,5.96040000,6.32660000,2312287.74000000,1547769599999,14193314.65233800,23754,1323742.54000000,8127500.90589400,0
1547769600000,6.31520000,6.58790000,6.21320000,6.48670000,2495447.22000000,1547855999999,15985247.05995400,27081,1401064.90000000,8975866.08946600,0
1547856000000,6.48870000,6.64000000,6.24350000,6.51990000,2269437.98000000,1547942399999,14687340.30665300,21884,1284679.01000000,8317407.84419300,0
1547942400000,6.52210000,6.62950000,6.24010000,6.40080000,1778376.93000000,1548028799999,11481466.26242900,21670,967890.19000000,6254229.03916800,0
1548028800000,6.40690000,6.51500000,6.27880000,6.47240000,1851048.49000000,1548115199999,11908754.85807400,14852,1147651.36000000,7385500.43127500,0
1548115200000,6.46810000,6.50880000,6.25000000,6.47360000,1854629.75000000,1548201599999,11938849.63923300,17562,1060204.64000000,6831977.78485500,0
1548201600000,6.47800000,6.53000000,6.34990000,6.49690000,1928704.72000000,1548287999999,12474449.05930600,13645,1166745.15000000,7548392.95572000,0
1548288000000,6.49630000,6.49630000,6.39150000,6.45880000,1514319.91000000,1548374399999,9750589.96584800,11955,876166.46000000,5642277.19906200,0
1548374400000,6.45550000,6.75020000,6.44080000,6.68990000,2583153.38000000,1548460799999,17021668.77919700,17668,1532990.81000000,10100119.74463400,0
1548460800000,6.68900000,6.97860000,6.61960000,6.94630000,2734629.11000000,1548547199999,18598393.81759600,23293,1622823.22000000,11032751.10941200,0
1548547200000,6.94530000,7.21570000,6.79190000,7.03960000,2776887.68000000,1548633599999,19399583.76741900,36398,1507800.27000000,10533184.71970500,0
1548633600000,7.03990000,7.13980000,5.94000000,6.16480000,4950985.69000000,1548719999999,32288204.50195700,72468,2364027.53000000,15446754.94756900,0
1548720000000,6.16420000,6.25990000,5.96800000,6.16610000,2967157.36000000,1548806399999,18169111.04114000,30608,1580018.56000000,9686329.63752300,0
1548806400000,6.13350000,6.19990000,6.00100000,6.13880000,2238811.59000000,1548892799999,13687184.38091300,20361,1199806.93000000,7338477.83884900,0
1548892800000,6.13840000,6.26630000,5.94680000,6.22000000,2264988.86000000,1548979199999,13878555.84930400,33940,1233250.18000000,7568505.99949100,0
