1523923200000,0.25551000,0.28800000,0.23983000,0.24260000,67462293.24000000,1524009599999,17411823.57157960,42568,28228665.39000000,7281513.06137010,0
1524009600000,0.24260000,0.26460000,0.24201000,0.26200000,31328095.79000000,1524095999999,7922134.28304330,21684,15082512.84000000,3818068.82632840,0
1524096000000,0.26199000,0.27500000,0.25777000,0.27004000,50859980.22000000,1524182399999,13609907.89978870,32600,23934593.69000000,6408750.31190170,0
1524182400000,0.27004000,0.30442000,0.26648000,0.30108000,71084276.49000000,1524268799999,20270887.70351350,46506,35262790.18000000,10040840.12777730,0
1524268800000,0.30161000,0.30700000,0.26509000,0.28668000,92719842.91000000,1524355199999,26539390.12720960,55256,43517191.79000000,12413648.37070700,0
1524355200000,0.28669000,0.29730000,0.27716000,0.28160000,48693828.46000000,1524441599999,13995484.40681160,31512,23214895.86000000,6679180.53730580,0
1524441600000,0.28160000,0.28867000,0.28064000,0.28788000,34341260.85000000,1524527999999,9788784.21676100,22695,13692447.50000000,3904591.52166740,0
1524528000000,0.28798000,0.32000000,0.28593000,0.30853000,90526059.79000000,1524614399999,27728564.26935270,59339,43507259.85000000,13294488.19719800,0
1524614400000,0.30850000,0.31099000,0.25730000,0.26870000,124688510.26000000,1524700799999,34935280.91710510,75613,53116874.13000000,14847651.65233860,0
1524700800000,0.26870000,0.29390000,0.25500000,0.29326000,68109625.26000000,1524787199999,18704063.46005310,46981,31814747.97000000,8746078.16855260,0
1524787200000,0.29326000,0.30643000,0.28145000,0.28445000,69781321.86000000,1524873599999,20504315.28290510,46133,34026765.74000000,10013836.69712220,0
1524873600000,0.28440000,0.36498000,0.28170000,0.35676000,168937876.23000000,1524959999999,56407387.72753420,103617,89831223.31000000,29871051.66850670,0
1524960000000,0.35675000,0.38660000,0.34150000,0.36254000,162840221.99000000,1525046399999,59607359.48185200,103067,79911394.87000000,29289779.12516260,0
1525046400000,0.36251000,0.36370000,0.33000000,0.34145000,93142615.39000000,1525132799999,32338238.10860640,71564,40477907.58000000,14067204.94713020,0
